,47019,orig
1987-12-25,7.45,7.45
1987-12-26,9.56,9.56
1987-12-27,15.7,15.7
1987-12-28,12.5,12.5
1987-12-29,55.1,55.1
1987-12-30,39.2,39.2
1987-12-31,27.9,27.9
1988-01-01,44.7,44.7
1988-01-02,69.1,69.1
1988-01-03,34.7,34.7
1988-01-04,28.1,28.1
1988-01-05,34.7,34.7
1988-01-06,39.4,39.4
1988-01-07,20.8,20.8
1988-01-08,25.5,25.5
1988-01-09,28.8,28.8
1988-01-10,23.4,23.4
1988-01-11,24.0,24.0
1988-01-12,35.6,35.6
1988-01-13,27.8,27.8
1988-01-14,26.9,26.9
1988-01-15,24.0,24.0
1988-01-16,15.9,15.9
1988-01-17,13.3,13.3
1988-01-18,11.8,11.8
1988-01-19,10.8,10.8
1988-01-20,12.6,12.6
1988-01-21,17.9,17.9
1988-01-22,21.1,21.1
1988-01-23,47.8,47.8
1988-01-24,56.7,56.7
1988-01-25,67.1,67.1
1988-01-26,36.0,36.0
1988-01-27,37.4,37.4
1988-01-28,45.3,45.3
1988-01-29,72.8,72.8
1988-01-30,42.7,42.7
1988-01-31,66.0,66.0
1988-02-01,47.3,47.3
1988-02-02,36.8,36.8
1988-02-03,38.3,38.3
1988-02-04,41.3,41.3
1988-02-05,38.4,38.4
1988-02-06,30.8,30.8
1988-02-07,27.3,27.3
1988-02-08,33.5,33.5
1988-02-09,31.7,31.7
1988-02-10,38.6,38.6
1988-02-11,22.2,22.2
1988-02-12,18.1,18.1
1988-02-13,61.2,61.2
1988-02-14,29.5,29.5
1988-02-15,20.3,20.3
1988-02-16,14.9,14.9
1988-02-17,13.1,13.1
1988-02-18,11.3,11.3
1988-02-19,9.8,9.8
1988-02-20,8.25,8.25
1988-02-21,7.05,7.05
1988-02-22,6.11,6.11
1988-02-23,5.42,5.42
1988-02-24,4.95,4.95
1988-02-25,4.4,4.4
1988-02-26,3.96,3.96
1988-02-27,3.78,3.78
1988-02-28,3.62,3.62
1988-02-29,3.55,3.55
1988-03-01,3.47,3.47
1988-03-02,3.07,3.07
1988-03-03,4.88,4.88
1988-03-04,4.11,4.11
1988-03-05,3.78,3.78
1988-03-06,3.44,3.44
1988-03-07,3.29,3.29
1988-03-08,3.11,3.11
1988-03-09,3.23,3.23
1988-03-10,3.15,3.15
1988-03-11,2.9,2.9
1988-03-12,2.82,2.82
1988-03-13,2.75,2.75
1988-03-14,2.93,2.93
1988-03-15,19.9,19.9
1988-03-16,13.2,13.2
1988-03-17,52.5,52.5
1988-03-18,102.0,102.0
1988-03-19,46.1,46.1
1988-03-20,56.4,56.4
1988-03-21,28.0,28.0
1988-03-22,16.0,16.0
1988-03-23,12.5,12.5
1988-03-24,14.5,14.5
1988-03-25,19.8,19.8
1988-03-26,11.2,11.2
1988-03-27,9.73,9.73
1988-03-28,10.9,10.9
1988-03-29,16.8,16.8
